Date,AAPL,MSFT,NVDA,JNJ,NVS,JPM,GS,AMZN,DIS,MCD,NEE,BA,CAT,XOM,CVX,RIO,BHP
2013-03-11,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-12,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-13,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-14,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-15,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-18,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-19,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-20,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-21,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-22,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-25,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-26,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-27,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-03-28,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-01,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-02,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-03,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-04,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-05,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-08,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-09,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-10,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-11,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-12,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-15,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-16,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-17,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-18,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-19,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-22,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-23,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-24,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-25,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-26,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-29,0.05727,0.0,0.0,0.12756,0.08151,0.0,0.0,0.08773,0.08621,0.11413,0.13676,0.0,0.0,0.16696,0.14188,0.0,0.0
2013-04-30,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-01,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-02,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-03,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-06,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-07,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-08,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-09,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-10,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-13,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-14,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-15,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-16,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-17,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-20,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-21,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-22,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-23,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-24,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-28,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-29,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-30,0.01953,0.00602,0.0,0.19289,0.12865,0.0,0.0,0.0272,0.12959,0.11166,0.27926,0.0168,0.0,0.0,0.0884,0.0,0.0
2013-05-31,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-03,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-04,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-05,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-06,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-07,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-10,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-11,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-12,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-13,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-14,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-17,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-18,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-19,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-20,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-21,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-24,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-25,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-26,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-27,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-06-28,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-01,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-02,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-03,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-05,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-08,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-09,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-10,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-11,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-12,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-15,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-16,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-17,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-18,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-19,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-22,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-23,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-24,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-25,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-26,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-29,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-30,0.03441,0.02357,0.0,0.19887,0.13812,0.0,0.0,0.04954,0.11853,0.09627,0.15441,0.07602,0.0,0.01676,0.09349,0.0,0.0
2013-07-31,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-01,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-02,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-05,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-06,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-07,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-08,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-09,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-12,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-13,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-14,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-15,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-16,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-19,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-20,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-21,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-22,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-23,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-26,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-27,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-28,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-29,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-08-30,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-03,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-04,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-05,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-06,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-09,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-10,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-11,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-12,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-13,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-16,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-17,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-18,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-19,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-20,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-23,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-24,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-25,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-26,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-27,0.01121,0.0,0.0,0.33738,0.11253,0.0,0.0,0.06113,0.05971,0.11618,0.19881,0.04843,0.0,0.0,0.05461,0.0,0.0
2013-09-30,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-02,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-03,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-04,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-07,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-08,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-09,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-10,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-11,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-14,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-15,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-16,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-17,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-18,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-21,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-22,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-23,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-24,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-25,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-28,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-29,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
2013-10-30,0.0418,0.02358,0.0,0.24553,0.14654,0.0,0.0,0.08118,0.06216,0.10463,0.20575,0.08883,0.0,0.0,0.0,0.0,0.0
